プログラムNo.2
 層番号 材料番号  物質名  ML数 層厚[nm] 比誘電率 有効質量 障壁の高さ 谷 分割数  NX       EF  仕事関数  電荷量
      0        1 n-Si.Sub.   5     1.55     11.8     0.26        -0   6     50  50 -0.09356    4.144    1e+18
      1       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30  80        0        0        0
      2        7 i-Si        5     1.55     11.8     0.26        -0   6     50 130    -0.56        0        0
      3       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 160        0        0        0
      4        7 i-Si        4     1.24     11.8     0.26        -0   6     40 200    -0.56        0        0
      5       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 230        0        0        0
      6        7 i-Si        4     1.24     11.8     0.26        -0   6     40 270    -0.56        0        0
      7       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 300        0        0        0
      8        7 i-Si        4     1.24     11.8     0.26        -0   6     40 340    -0.56        0        0
      9       24 3MLCaF2     3     0.93     6.76        1       1.5   1     30 370        0        0        0
     10        7 i-Si        2     0.62     11.8     0.26        -0   6     20 390    -0.56        0        0
     11       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 430        0        0        0
     12        7 i-Si        5     1.55     11.8     0.26        -0   6     50 480    -0.56        0        0
     13       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 520        0        0        0
     14        7 i-Si        3     0.93     11.8     0.26        -0   6     30 550    -0.56        0        0
     15       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 590        0        0        0
     16        7 i-Si        2     0.62     11.8     0.26        -0   6     20 610    -0.56        0        0
     17       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 650        0        0        0
     18        7 i-Si        2     0.62     11.8     0.26        -0   6     20 670    -0.56        0        0
     19       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 710        0        0        0
     20        7 i-Si        2     0.62     11.8     0.26        -0   6     20 730    -0.56        0        0
     21       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 770        0        0        0
     22        7 i-Si        2     0.62     11.8     0.26        -0   6     20 790    -0.56        0        0
     23       22 CaF2(4ML)   4     1.24     6.76     0.85       1.6   1     40 830        0        0        0
     24        1 n-Si.Sub.  20      6.2     11.8     0.26        -0   6    200 1030 -0.09356    4.144    1e+18

 1ML[nm] 分割数 積分範囲    ΔE  ピーク時ΔE  N  NRTD TEMP II*temp bar[24] bar[0]
    0.31     10      0.6    1e-05    1e-09  1030  120  300  4.2e+12 なし なし
NQW[/cm2] Q[C/m2]
0.000000e+00 0.000000e+00
35 1.085000e+00 0.000000e+00
36 1.116000e+00 0.000000e+00
36 1.116000e+00 0.000000e+00
37 1.147000e+00 0.000000e+00
37 1.147000e+00 0.000000e+00
38 1.178000e+00 0.000000e+00
38 1.178000e+00 0.000000e+00
39 1.209000e+00 0.000000e+00
39 1.209000e+00 0.000000e+00
40 1.240000e+00 0.000000e+00
40 1.240000e+00 0.000000e+00
41 1.271000e+00 0.000000e+00
41 1.271000e+00 0.000000e+00
42 1.302000e+00 0.000000e+00
42 1.302000e+00 0.000000e+00
43 1.333000e+00 0.000000e+00
43 1.333000e+00 0.000000e+00
44 1.364000e+00 0.000000e+00
44 1.364000e+00 0.000000e+00
45 1.395000e+00 0.000000e+00
45 1.395000e+00 0.000000e+00
46 1.426000e+00 0.000000e+00
46 1.426000e+00 0.000000e+00
47 1.457000e+00 0.000000e+00
47 1.457000e+00 0.000000e+00
48 1.488000e+00 0.000000e+00
48 1.488000e+00 0.000000e+00
49 1.519000e+00 0.000000e+00
49 1.519000e+00 0.000000e+00
50 1.550000e+00 0.000000e+00
50 1.550000e+00 1.500000e+00
51 1.581000e+00 1.500000e+00
51 1.581000e+00 1.500000e+00
52 1.612000e+00 1.500000e+00
52 1.612000e+00 1.500000e+00
53 1.643000e+00 1.500000e+00
53 1.643000e+00 1.500000e+00
54 1.674000e+00 1.500000e+00
54 1.674000e+00 1.500000e+00
55 1.705000e+00 1.500000e+00
55 1.705000e+00 1.500000e+00
56 1.736000e+00 1.500000e+00
56 1.736000e+00 1.500000e+00
57 1.767000e+00 1.500000e+00
57 1.767000e+00 1.500000e+00
58 1.798000e+00 1.500000e+00
58 1.798000e+00 1.500000e+00
59 1.829000e+00 1.500000e+00
59 1.829000e+00 1.500000e+00
60 1.860000e+00 1.500000e+00
60 1.860000e+00 1.500000e+00
61 1.891000e+00 1.500000e+00
61 1.891000e+00 1.500000e+00
62 1.922000e+00 1.500000e+00
62 1.922000e+00 1.500000e+00
63 1.953000e+00 1.500000e+00
63 1.953000e+00 1.500000e+00
64 1.984000e+00 1.500000e+00
64 1.984000e+00 1.500000e+00
65 2.015000e+00 1.500000e+00
65 2.015000e+00 1.500000e+00
66 2.046000e+00 1.500000e+00
66 2.046000e+00 1.500000e+00
67 2.077000e+00 1.500000e+00
67 2.077000e+00 1.500000e+00
68 2.108000e+00 1.500000e+00
68 2.108000e+00 1.500000e+00
69 2.139000e+00 1.500000e+00
69 2.139000e+00 1.500000e+00
70 2.170000e+00 1.500000e+00
70 2.170000e+00 1.500000e+00
71 2.201000e+00 1.500000e+00
71 2.201000e+00 1.500000e+00
72 2.232000e+00 1.500000e+00
72 2.232000e+00 1.500000e+00
73 2.263000e+00 1.500000e+00
73 2.263000e+00 1.500000e+00
74 2.294000e+00 1.500000e+00
74 2.294000e+00 1.500000e+00
75 2.325000e+00 1.500000e+00
75 2.325000e+00 1.500000e+00
76 2.356000e+00 1.500000e+00
76 2.356000e+00 1.500000e+00
77 2.387000e+00 1.500000e+00
77 2.387000e+00 1.500000e+00
78 2.418000e+00 1.500000e+00
78 2.418000e+00 1.500000e+00
79 2.449000e+00 1.500000e+00
79 2.449000e+00 1.500000e+00
80 2.480000e+00 1.500000e+00
80 2.480000e+00 0.000000e+00
81 2.511000e+00 0.000000e+00
81 2.511000e+00 0.000000e+00
82 2.542000e+00 0.000000e+00
82 2.542000e+00 0.000000e+00
83 2.573000e+00 0.000000e+00
83 2.573000e+00 0.000000e+00
84 2.604000e+00 0.000000e+00
84 2.604000e+00 0.000000e+00
85 2.635000e+00 0.000000e+00
85 2.635000e+00 0.000000e+00
86 2.666000e+00 0.000000e+00
86 2.666000e+00 0.000000e+00
87 2.697000e+00 0.000000e+00
87 2.697000e+00 0.000000e+00
88 2.728000e+00 0.000000e+00
88 2.728000e+00 0.000000e+00
89 2.759000e+00 0.000000e+00
89 2.759000e+00 0.000000e+00
90 2.790000e+00 0.000000e+00
90 2.790000e+00 0.000000e+00
91 2.821000e+00 0.000000e+00
91 2.821000e+00 0.000000e+00
92 2.852000e+00 0.000000e+00
92 2.852000e+00 0.000000e+00
93 2.883000e+00 0.000000e+00
93 2.883000e+00 0.000000e+00
94 2.914000e+00 0.000000e+00
94 2.914000e+00 0.000000e+00
95 2.945000e+00 0.000000e+00
95 2.945000e+00 0.000000e+00
96 2.976000e+00 0.000000e+00
96 2.976000e+00 0.000000e+00
97 3.007000e+00 0.000000e+00
97 3.007000e+00 0.000000e+00
98 3.038000e+00 0.000000e+00
98 3.038000e+00 0.000000e+00
99 3.069000e+00 0.000000e+00
99 3.069000e+00 0.000000e+00
100 3.100000e+00 0.000000e+00
100 3.100000e+00 0.000000e+00
101 3.131000e+00 0.000000e+00
101 3.131000e+00 0.000000e+00
102 3.162000e+00 0.000000e+00
102 3.162000e+00 0.000000e+00
103 3.193000e+00 0.000000e+00
103 3.193000e+00 0.000000e+00
104 3.224000e+00 0.000000e+00
104 3.224000e+00 0.000000e+00
105 3.255000e+00 0.000000e+00
105 3.255000e+00 0.000000e+00
106 3.286000e+00 0.000000e+00
106 3.286000e+00 0.000000e+00
107 3.317000e+00 0.000000e+00
107 3.317000e+00 0.000000e+00
108 3.348000e+00 0.000000e+00
108 3.348000e+00 0.000000e+00
109 3.379000e+00 0.000000e+00
109 3.379000e+00 0.000000e+00
110 3.410000e+00 0.000000e+00
110 3.410000e+00 0.000000e+00
111 3.441000e+00 0.000000e+00
111 3.441000e+00 0.000000e+00
112 3.472000e+00 0.000000e+00
112 3.472000e+00 0.000000e+00
113 3.503000e+00 0.000000e+00
113 3.503000e+00 0.000000e+00
114 3.534000e+00 0.000000e+00
114 3.534000e+00 0.000000e+00
115 3.565000e+00 0.000000e+00
115 3.565000e+00 0.000000e+00
116 3.596000e+00 0.000000e+00
116 3.596000e+00 0.000000e+00
117 3.627000e+00 0.000000e+00
117 3.627000e+00 0.000000e+00
118 3.658000e+00 0.000000e+00
118 3.658000e+00 0.000000e+00
119 3.689000e+00 0.000000e+00
119 3.689000e+00 0.000000e+00
120 3.720000e+00 0.000000e+00
120 3.720000e+00 0.000000e+00
121 3.751000e+00 0.000000e+00
121 3.751000e+00 0.000000e+00
122 3.782000e+00 0.000000e+00
122 3.782000e+00 0.000000e+00
123 3.813000e+00 0.000000e+00
123 3.813000e+00 0.000000e+00
124 3.844000e+00 0.000000e+00
124 3.844000e+00 0.000000e+00
125 3.875000e+00 0.000000e+00
125 3.875000e+00 0.000000e+00
126 3.906000e+00 0.000000e+00
126 3.906000e+00 0.000000e+00
127 3.937000e+00 0.000000e+00
127 3.937000e+00 0.000000e+00
128 3.968000e+00 0.000000e+00
128 3.968000e+00 0.000000e+00
129 3.999000e+00 0.000000e+00
129 3.999000e+00 0.000000e+00
130 4.030000e+00 0.000000e+00
130 4.030000e+00 1.500000e+00
131 4.061000e+00 1.500000e+00
131 4.061000e+00 1.500000e+00
132 4.092000e+00 1.500000e+00
132 4.092000e+00 1.500000e+00
133 4.123000e+00 1.500000e+00
133 4.123000e+00 1.500000e+00
134 4.154000e+00 1.500000e+00
134 4.154000e+00 1.500000e+00
135 4.185000e+00 1.500000e+00
135 4.185000e+00 1.500000e+00
136 4.216000e+00 1.500000e+00
136 4.216000e+00 1.500000e+00
137 4.247000e+00 1.500000e+00
137 4.247000e+00 1.500000e+00
138 4.278000e+00 1.500000e+00
138 4.278000e+00 1.500000e+00
139 4.309000e+00 1.500000e+00
139 4.309000e+00 1.500000e+00
140 4.340000e+00 1.500000e+00
140 4.340000e+00 1.500000e+00
141 4.371000e+00 1.500000e+00
141 4.371000e+00 1.500000e+00
142 4.402000e+00 1.500000e+00
142 4.402000e+00 1.500000e+00
143 4.433000e+00 1.500000e+00
143 4.433000e+00 1.500000e+00
144 4.464000e+00 1.500000e+00
144 4.464000e+00 1.500000e+00
145 4.495000e+00 1.500000e+00
145 4.495000e+00 1.500000e+00
146 4.526000e+00 1.500000e+00
146 4.526000e+00 1.500000e+00
147 4.557000e+00 1.500000e+00
147 4.557000e+00 1.500000e+00
148 4.588000e+00 1.500000e+00
148 4.588000e+00 1.500000e+00
149 4.619000e+00 1.500000e+00
149 4.619000e+00 1.500000e+00
150 4.650000e+00 1.500000e+00
150 4.650000e+00 1.500000e+00
151 4.681000e+00 1.500000e+00
151 4.681000e+00 1.500000e+00
152 4.712000e+00 1.500000e+00
152 4.712000e+00 1.500000e+00
153 4.743000e+00 1.500000e+00
153 4.743000e+00 1.500000e+00
154 4.774000e+00 1.500000e+00
154 4.774000e+00 1.500000e+00
155 4.805000e+00 1.500000e+00
155 4.805000e+00 1.500000e+00
156 4.836000e+00 1.500000e+00
156 4.836000e+00 1.500000e+00
157 4.867000e+00 1.500000e+00
157 4.867000e+00 1.500000e+00
158 4.898000e+00 1.500000e+00
158 4.898000e+00 1.500000e+00
159 4.929000e+00 1.500000e+00
159 4.929000e+00 1.500000e+00
160 4.960000e+00 1.500000e+00
160 4.960000e+00 0.000000e+00
161 4.991000e+00 0.000000e+00
161 4.991000e+00 0.000000e+00
162 5.022000e+00 0.000000e+00
162 5.022000e+00 0.000000e+00
163 5.053000e+00 0.000000e+00
163 5.053000e+00 0.000000e+00
164 5.084000e+00 0.000000e+00
164 5.084000e+00 0.000000e+00
165 5.115000e+00 0.000000e+00
165 5.115000e+00 0.000000e+00
166 5.146000e+00 0.000000e+00
166 5.146000e+00 0.000000e+00
167 5.177000e+00 0.000000e+00
167 5.177000e+00 0.000000e+00
168 5.208000e+00 0.000000e+00
168 5.208000e+00 0.000000e+00
169 5.239000e+00 0.000000e+00
169 5.239000e+00 0.000000e+00
170 5.270000e+00 0.000000e+00
170 5.270000e+00 0.000000e+00
171 5.301000e+00 0.000000e+00
171 5.301000e+00 0.000000e+00
172 5.332000e+00 0.000000e+00
172 5.332000e+00 0.000000e+00
173 5.363000e+00 0.000000e+00
173 5.363000e+00 0.000000e+00
174 5.394000e+00 0.000000e+00
174 5.394000e+00 0.000000e+00
175 5.425000e+00 0.000000e+00
175 5.425000e+00 0.000000e+00
176 5.456000e+00 0.000000e+00
176 5.456000e+00 0.000000e+00
177 5.487000e+00 0.000000e+00
177 5.487000e+00 0.000000e+00
178 5.518000e+00 0.000000e+00
178 5.518000e+00 0.000000e+00
179 5.549000e+00 0.000000e+00
179 5.549000e+00 0.000000e+00
180 5.580000e+00 0.000000e+00
180 5.580000e+00 0.000000e+00
181 5.611000e+00 0.000000e+00
181 5.611000e+00 0.000000e+00
182 5.642000e+00 0.000000e+00
182 5.642000e+00 0.000000e+00
183 5.673000e+00 0.000000e+00
183 5.673000e+00 0.000000e+00
184 5.704000e+00 0.000000e+00
184 5.704000e+00 0.000000e+00
185 5.735000e+00 0.000000e+00
185 5.735000e+00 0.000000e+00
186 5.766000e+00 0.000000e+00
186 5.766000e+00 0.000000e+00
187 5.797000e+00 0.000000e+00
187 5.797000e+00 0.000000e+00
188 5.828000e+00 0.000000e+00
188 5.828000e+00 0.000000e+00
189 5.859000e+00 0.000000e+00
189 5.859000e+00 0.000000e+00
190 5.890000e+00 0.000000e+00
190 5.890000e+00 0.000000e+00
191 5.921000e+00 0.000000e+00
191 5.921000e+00 0.000000e+00
192 5.952000e+00 0.000000e+00
192 5.952000e+00 0.000000e+00
193 5.983000e+00 0.000000e+00
193 5.983000e+00 0.000000e+00
194 6.014000e+00 0.000000e+00
194 6.014000e+00 0.000000e+00
195 6.045000e+00 0.000000e+00
195 6.045000e+00 0.000000e+00
196 6.076000e+00 0.000000e+00
196 6.076000e+00 0.000000e+00
197 6.107000e+00 0.000000e+00
197 6.107000e+00 0.000000e+00
198 6.138000e+00 0.000000e+00
198 6.138000e+00 0.000000e+00
199 6.169000e+00 0.000000e+00
199 6.169000e+00 0.000000e+00
200 6.200000e+00 0.000000e+00
200 6.200000e+00 1.500000e+00
201 6.231000e+00 1.500000e+00
201 6.231000e+00 1.500000e+00
202 6.262000e+00 1.500000e+00
202 6.262000e+00 1.500000e+00
203 6.293000e+00 1.500000e+00
203 6.293000e+00 1.500000e+00
204 6.324000e+00 1.500000e+00
204 6.324000e+00 1.500000e+00
205 6.355000e+00 1.500000e+00
205 6.355000e+00 1.500000e+00
206 6.386000e+00 1.500000e+00
206 6.386000e+00 1.500000e+00
207 6.417000e+00 1.500000e+00
207 6.417000e+00 1.500000e+00
208 6.448000e+00 1.500000e+00
208 6.448000e+00 1.500000e+00
209 6.479000e+00 1.500000e+00
209 6.479000e+00 1.500000e+00
210 6.510000e+00 1.500000e+00
210 6.510000e+00 1.500000e+00
211 6.541000e+00 1.500000e+00
211 6.541000e+00 1.500000e+00
212 6.572000e+00 1.500000e+00
212 6.572000e+00 1.500000e+00
213 6.603000e+00 1.500000e+00
213 6.603000e+00 1.500000e+00
214 6.634000e+00 1.500000e+00
214 6.634000e+00 1.500000e+00
215 6.665000e+00 1.500000e+00
215 6.665000e+00 1.500000e+00
216 6.696000e+00 1.500000e+00
216 6.696000e+00 1.500000e+00
217 6.727000e+00 1.500000e+00
217 6.727000e+00 1.500000e+00
218 6.758000e+00 1.500000e+00
218 6.758000e+00 1.500000e+00
219 6.789000e+00 1.500000e+00
219 6.789000e+00 1.500000e+00
220 6.820000e+00 1.500000e+00
220 6.820000e+00 1.500000e+00
221 6.851000e+00 1.500000e+00
221 6.851000e+00 1.500000e+00
222 6.882000e+00 1.500000e+00
222 6.882000e+00 1.500000e+00
223 6.913000e+00 1.500000e+00
223 6.913000e+00 1.500000e+00
224 6.944000e+00 1.500000e+00
224 6.944000e+00 1.500000e+00
225 6.975000e+00 1.500000e+00
225 6.975000e+00 1.500000e+00
226 7.006000e+00 1.500000e+00
226 7.006000e+00 1.500000e+00
227 7.037000e+00 1.500000e+00
227 7.037000e+00 1.500000e+00
228 7.068000e+00 1.500000e+00
228 7.068000e+00 1.500000e+00
229 7.099000e+00 1.500000e+00
229 7.099000e+00 1.500000e+00
230 7.130000e+00 1.500000e+00
230 7.130000e+00 0.000000e+00
231 7.161000e+00 0.000000e+00
231 7.161000e+00 0.000000e+00
232 7.192000e+00 0.000000e+00
232 7.192000e+00 0.000000e+00
233 7.223000e+00 0.000000e+00
233 7.223000e+00 0.000000e+00
234 7.254000e+00 0.000000e+00
234 7.254000e+00 0.000000e+00
235 7.285000e+00 0.000000e+00
235 7.285000e+00 0.000000e+00
236 7.316000e+00 0.000000e+00
236 7.316000e+00 0.000000e+00
237 7.347000e+00 0.000000e+00
237 7.347000e+00 0.000000e+00
238 7.378000e+00 0.000000e+00
238 7.378000e+00 0.000000e+00
239 7.409000e+00 0.000000e+00
239 7.409000e+00 0.000000e+00
240 7.440000e+00 0.000000e+00
240 7.440000e+00 0.000000e+00
241 7.471000e+00 0.000000e+00
241 7.471000e+00 0.000000e+00
242 7.502000e+00 0.000000e+00
242 7.502000e+00 0.000000e+00
243 7.533000e+00 0.000000e+00
243 7.533000e+00 0.000000e+00
244 7.564000e+00 0.000000e+00
244 7.564000e+00 0.000000e+00
245 7.595000e+00 0.000000e+00
245 7.595000e+00 0.000000e+00
246 7.626000e+00 0.000000e+00
246 7.626000e+00 0.000000e+00
247 7.657000e+00 0.000000e+00
247 7.657000e+00 0.000000e+00
248 7.688000e+00 0.000000e+00
248 7.688000e+00 0.000000e+00
249 7.719000e+00 0.000000e+00
249 7.719000e+00 0.000000e+00
250 7.750000e+00 0.000000e+00
250 7.750000e+00 0.000000e+00
251 7.781000e+00 0.000000e+00
251 7.781000e+00 0.000000e+00
252 7.812000e+00 0.000000e+00
252 7.812000e+00 0.000000e+00
253 7.843000e+00 0.000000e+00
253 7.843000e+00 0.000000e+00
254 7.874000e+00 0.000000e+00
254 7.874000e+00 0.000000e+00
255 7.905000e+00 0.000000e+00
255 7.905000e+00 0.000000e+00
256 7.936000e+00 0.000000e+00
256 7.936000e+00 0.000000e+00
257 7.967000e+00 0.000000e+00
257 7.967000e+00 0.000000e+00
258 7.998000e+00 0.000000e+00
258 7.998000e+00 0.000000e+00
259 8.029000e+00 0.000000e+00
259 8.029000e+00 0.000000e+00
260 8.060000e+00 0.000000e+00
260 8.060000e+00 0.000000e+00
261 8.091000e+00 0.000000e+00
261 8.091000e+00 0.000000e+00
262 8.122000e+00 0.000000e+00
262 8.122000e+00 0.000000e+00
263 8.153000e+00 0.000000e+00
263 8.153000e+00 0.000000e+00
264 8.184000e+00 0.000000e+00
264 8.184000e+00 0.000000e+00
265 8.215000e+00 0.000000e+00
265 8.215000e+00 0.000000e+00
266 8.246000e+00 0.000000e+00
266 8.246000e+00 0.000000e+00
267 8.277000e+00 0.000000e+00
267 8.277000e+00 0.000000e+00
268 8.308000e+00 0.000000e+00
268 8.308000e+00 0.000000e+00
269 8.339000e+00 0.000000e+00
269 8.339000e+00 0.000000e+00
270 8.370000e+00 0.000000e+00
270 8.370000e+00 1.500000e+00
271 8.401000e+00 1.500000e+00
271 8.401000e+00 1.500000e+00
272 8.432000e+00 1.500000e+00
272 8.432000e+00 1.500000e+00
273 8.463000e+00 1.500000e+00
273 8.463000e+00 1.500000e+00
274 8.494000e+00 1.500000e+00
274 8.494000e+00 1.500000e+00
275 8.525000e+00 1.500000e+00
275 8.525000e+00 1.500000e+00
276 8.556000e+00 1.500000e+00
276 8.556000e+00 1.500000e+00
277 8.587000e+00 1.500000e+00
277 8.587000e+00 1.500000e+00
278 8.618000e+00 1.500000e+00
278 8.618000e+00 1.500000e+00
279 8.649000e+00 1.500000e+00
279 8.649000e+00 1.500000e+00
280 8.680000e+00 1.500000e+00
280 8.680000e+00 1.500000e+00
281 8.711000e+00 1.500000e+00
281 8.711000e+00 1.500000e+00
282 8.742000e+00 1.500000e+00
282 8.742000e+00 1.500000e+00
283 8.773000e+00 1.500000e+00
283 8.773000e+00 1.500000e+00
284 8.804000e+00 1.500000e+00
284 8.804000e+00 1.500000e+00
285 8.835000e+00 1.500000e+00
285 8.835000e+00 1.500000e+00
286 8.866000e+00 1.500000e+00
286 8.866000e+00 1.500000e+00
287 8.897000e+00 1.500000e+00
287 8.897000e+00 1.500000e+00
288 8.928000e+00 1.500000e+00
288 8.928000e+00 1.500000e+00
289 8.959000e+00 1.500000e+00
289 8.959000e+00 1.500000e+00
290 8.990000e+00 1.500000e+00
290 8.990000e+00 1.500000e+00
291 9.021000e+00 1.500000e+00
291 9.021000e+00 1.500000e+00
292 9.052000e+00 1.500000e+00
292 9.052000e+00 1.500000e+00
293 9.083000e+00 1.500000e+00
293 9.083000e+00 1.500000e+00
294 9.114000e+00 1.500000e+00
294 9.114000e+00 1.500000e+00
295 9.145000e+00 1.500000e+00
295 9.145000e+00 1.500000e+00
296 9.176000e+00 1.500000e+00
296 9.176000e+00 1.500000e+00
297 9.207000e+00 1.500000e+00
297 9.207000e+00 1.500000e+00
298 9.238000e+00 1.500000e+00
298 9.238000e+00 1.500000e+00
299 9.269000e+00 1.500000e+00
299 9.269000e+00 1.500000e+00
300 9.300000e+00 1.500000e+00
300 9.300000e+00 0.000000e+00
301 9.331000e+00 0.000000e+00
301 9.331000e+00 0.000000e+00
302 9.362000e+00 0.000000e+00
302 9.362000e+00 0.000000e+00
303 9.393000e+00 0.000000e+00
303 9.393000e+00 0.000000e+00
304 9.424000e+00 0.000000e+00
304 9.424000e+00 0.000000e+00
305 9.455000e+00 0.000000e+00
305 9.455000e+00 0.000000e+00
306 9.486000e+00 0.000000e+00
306 9.486000e+00 0.000000e+00
307 9.517000e+00 0.000000e+00
307 9.517000e+00 0.000000e+00
308 9.548000e+00 0.000000e+00
308 9.548000e+00 0.000000e+00
309 9.579000e+00 0.000000e+00
309 9.579000e+00 0.000000e+00
310 9.610000e+00 0.000000e+00
310 9.610000e+00 0.000000e+00
311 9.641000e+00 0.000000e+00
311 9.641000e+00 0.000000e+00
312 9.672000e+00 0.000000e+00
312 9.672000e+00 0.000000e+00
313 9.703000e+00 0.000000e+00
313 9.703000e+00 0.000000e+00
314 9.734000e+00 0.000000e+00
314 9.734000e+00 0.000000e+00
315 9.765000e+00 0.000000e+00
315 9.765000e+00 0.000000e+00
